USUARIAS,SEGMENTO,CIUDAD,DEPARTAMENTO,PAIS,DISTRITO,ETAPA_BEBE
41,Plata,MEDELLIN,ANTIOQUIA,COLOMBIA,ANTIOQUIA,embarazada
17,Oro,CAJICA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,aventurero
37,Bronce,FLORENCIA,CAQUETA,COLOMBIA,LLANOS,aventurero
1,Oro,EL ROSARIO,NARI?O,COLOMBIA,PACIFICO,aventurero
9,Bronce,CHIA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,aventurero
3,Oro,MARINILLA,ANTIOQUIA,COLOMBIA,ANTIOQUIA,recien nacido
112,Bronce,IBAGUE,TOLIMA,COLOMBIA,CENTRO,explorador
11,Bronce,BUENAVENTURA,VALLE DEL CAUCA,COLOMBIA,PACIFICO,aventurero
2,Bronce,PUEBLOVIEJO,MAGDALENA,COLOMBIA,ATLANTICO,explorador
4,Oro,QUIBDO,CHOCO,COLOMBIA,ANTIOQUIA,recien nacido
4,Bronce,CERETE,CORDOBA,COLOMBIA,ATLANTICO,aventurero
150,Plata,MEDELLIN,ANTIOQUIA,COLOMBIA,ANTIOQUIA,recien nacido
13,Oro,FACATATIVA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,acostadito
37,Plata,FLORENCIA,CAQUETA,COLOMBIA,LLANOS,explorador
5,Bronce,APARTADO,ANTIOQUIA,COLOMBIA,ANTIOQUIA,aventurero
27,Oro,BUGA,VALLE DEL CAUCA,COLOMBIA,PACIFICO,explorador
12,Plata,SANTA ROSA DE CABAL,RISARALDA,COLOMBIA,EJE CAFETERO,explorador
48,Plata,SOLEDAD,ATLANTICO,COLOMBIA,ATLANTICO,explorador
12,Bronce,YARUMAL,ANTIOQUIA,COLOMBIA,ANTIOQUIA,aventurero
3,Oro,PE?OL,ANTIOQUIA,COLOMBIA,ANTIOQUIA,explorador
3,Bronce,SAN AGUSTIN,HUILA,COLOMBIA,CENTRO,aventurero
80,Oro,PIEDECUESTA,SANTANDER,COLOMBIA,SANTANDERES,explorador
4,Oro,GUACARI,VALLE DEL CAUCA,COLOMBIA,PACIFICO,explorador
30,Oro,LEBRIJA,SANTANDER,COLOMBIA,SANTANDERES,explorador
6,Plata,COPACABANA,ANTIOQUIA,COLOMBIA,ANTIOQUIA,aventurero
14,Bronce,MADRID,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,aventurero
1,Plata,SAN PELAYO,CORDOBA,COLOMBIA,ATLANTICO,explorador
